Wall time,Step,Value
1723321064.080980,307200,1191.354736328130
1723321112.268580,819200,1836.3670654296900
1723321128.109740,972800,1504.3634033203100
1723321165.434990,1280000,1293.12255859375
1723321350.760220,2099200,1883.556640625
1723321383.5778700,2201600,1477.043701171880
1723321418.064710,2304000,1492.322509765630
1723321436.615220,2355200,1608.35009765625
1723321474.120390,2457600,1494.4969482421900
1723321609.048160,2764800,1421.581787109380
1723321685.509410,2918400,1543.3380126953100
1723321963.568010,3379200,1557.78759765625
1723322197.833590,3686400,1443.9730224609400
1723322240.601940,3737600,1193.5579833984400
1723322282.951790,3788800,1530.166748046880
1723322323.540740,3840000,1410.6357421875
1723322550.90309,4096000,1641.85107421875
1723322979.0759400,4505600,1489.5867919921900
1723323397.1791800,4864000,1234.2039794921900
1723323763.174860,5273600,2369.246826171880
1723323797.4085600,5427200,2206.063720703130
1723323810.391250,5478400,2516.8603515625
1723323890.8998300,5836800,2320.962646484380
1723323947.164320,6092800,2430.036376953130
1723324040.383140,6502400,2143.0908203125
1723324086.800620,6707200,2044.4658203125
1723324187.447820,7168000,2153.06884765625
1723324311.701780,7731200,1743.6285400390600
1723324335.5337500,7987200,1260.360595703130
1723324350.7133000,8140800,1868.727294921880
1723324400.634240,8601600,1793.7960205078100
1723324407.3943700,8652800,1767.75439453125
1723324479.162320,9164800,1618.2716064453100
1723324523.227230,9420800,1172.7265625
1723324542.8047800,9523200,1536.1551513671900
1723324552.594760,9574400,1952.860107421880
1723324598.210850,9779200,1679.3197021484400
1723324714.258250,10188800,2715.012451171880
1723324866.9072900,10598400,1504.24755859375
1723324889.8909400,10649600,1610.110107421880
1723324912.114520,10700800,1929.0003662109400
1723325012.7167200,10905600,1513.213134765630
1723325358.649650,11468800,1271.7445068359400
1723325595.2098000,11776000,1704.188720703130
1723325828.783860,12032000,1246.061767578130
1723325979.819690,12185600,1403.760009765630
1723326689.568820,12800000,1816.5269775390600
1723326746.964710,13107200,2919.100341796880
1723326798.2974700,13363200,3010.125732421880
1723326828.559560,13516800,2936.822265625
1723326868.60462,13721600,3230.135986328130
1723326909.411870,13926400,3232.48388671875
1723326929.3845800,14028800,3212.36865234375
1723327122.834530,15001600,3572.946044921880
1723327174.17968,15257600,4080.78271484375
1723327184.166430,15308800,3374.132568359380
1723327216.2496400,15564800,939.4390869140630
1723327237.9000200,15820800,1106.4390869140600
1723327246.763950,15923200,3095.434326171880
1723327288.7288200,16332800,1094.4423828125
1723327294.947220,16384000,1929.3798828125
1723327332.152590,16691200,2859.344970703130
1723327338.680450,16742400,1029.44140625
1723327345.445330,16793600,3673.058349609380
1723327368.187480,16947200,1989.0230712890600
1723327450.775160,17408000,2928.33203125
1723327557.691870,17817600,2435.061767578130
1723327889.528950,18636800,2759.25390625
1723328017.220190,18841600,1875.76904296875
1723328212.927920,19148800,3959.779296875
1723328365.547010,19353600,2847.129638671880
1723328446.518290,19456000,3081.781494140630
1723329038.4514400,20070400,1624.69775390625
1723329095.1532500,20121600,2257.16015625
1723329604.83313,20940800,4872.4169921875
1723329733.550240,21606400,3802.53515625
1723329743.667720,21657600,3333.42822265625
1723329763.3804000,21760000,2987.147705078130
1723329822.915670,22067200,3180.2294921875
1723329912.653430,22528000,4477.41455078125
1723329932.547630,22630400,4932.4755859375
1723329942.183870,22681600,5511.21484375
1723329971.7253800,22835200,4603.42724609375
1723330024.90658,23142400,2026.31689453125
1723330061.043090,23603200,1909.432861328130
1723330074.595160,23756800,3738.4462890625
1723330080.5325700,23808000,3923.439208984380
1723330128.2552300,24268800,2902.707763671880
1723330134.850320,24320000,2637.518798828130
1723330256.070690,25088000,3214.573974609380
1723330278.723590,25190400,4792.41943359375
1723330303.5943000,25292800,4334.515625
1723330540.725430,26009600,4129.79248046875
1723330654.875960,26265600,3779.56591796875
1723330705.411150,26368000,3539.825439453130
1723330788.6242300,26521600,3945.715087890630
1723331053.7228100,26931200,2750.00244140625
1723331291.05875,27238400,3777.1943359375
1723331386.218510,27340800,4068.5166015625
1723331541.556490,27494400,3918.805908203130
1723331866.43095,27801600,3098.043212890630
1723332181.230080,28057600,3652.74462890625
1723332386.329950,28569600,6033.837890625
1723332406.700690,28672000,6962.7470703125
1723332445.537560,28876800,6641.078125
1723332504.51567,29184000,6262.94580078125
1723332544.3135000,29388800,6880.0751953125
1723332603.58612,29696000,6766.52490234375
1723332623.295570,29798400,6599.77783203125
1723332633.759740,29849600,7055.31982421875
1723332653.041310,29952000,7175.87255859375
1723332675.007380,30054400,6516.38427734375
1723332685.210290,30105600,6559.01806640625
1723332738.999970,30361600,6559.07568359375
1723332749.686820,30412800,6059.671875
1723332828.951250,30873600,3918.38134765625
1723332853.7855800,31180800,3347.2509765625
1723332862.276460,31283200,3692.993408203130
1723332887.627190,31539200,3320.2001953125
1723332915.2362300,31795200,3760.676025390630
1723332926.5282400,31897600,3224.623046875
1723333015.147920,32512000,3414.854248046880
1723333087.8771900,32870400,5274.06298828125
1723333099.77947,32921600,4277.76025390625
1723333125.875640,33024000,5167.45361328125
1723333139.408000,33075200,5065.49072265625
1723333153.561040,33126400,3851.011474609380
1723333167.664510,33177600,4421.37548828125
1723333197.820680,33280000,4481.01611328125
1723333248.432600,33433600,5780.73486328125
1723333323.536360,33638400,5333.732421875
1723333429.708480,33894400,4683.0166015625
1723333502.075990,34048000,6127.9462890625
1723333610.444410,34252800,5632.58154296875
1723333697.820270,34406400,4588.47119140625
1723333793.724250,34560000,4549.9521484375
