Wall time,Step,Value
1723329763.3804000,21760000,0.19
1723329822.915670,22067200,0.19
1723329912.653430,22528000,0.19
1723329932.547630,22630400,0.19
1723329942.183870,22681600,0.19
1723329971.7253800,22835200,0.19
1723330024.90658,23142400,0.19
1723330061.043090,23603200,0.19
1723330074.595160,23756800,0.19
1723330080.5325700,23808000,0.19
1723330128.2552300,24268800,0.19
1723330134.850320,24320000,0.19
1723330256.070690,25088000,0.19
1723330278.723590,25190400,0.19
1723330303.5943000,25292800,0.19
1723330540.725430,26009600,0.19
1723330654.875960,26265600,0.19
1723330705.411150,26368000,0.19
1723330788.6242300,26521600,0.19
1723331053.7228100,26931200,0.19
1723331291.05875,27238400,0.19
1723331386.218510,27340800,0.19
1723331541.556490,27494400,0.19
1723331866.43095,27801600,0.19
1723332181.230080,28057600,0.19
1723332386.329950,28569600,0.19
1723332406.700690,28672000,0.19
1723332445.537560,28876800,0.19
1723332504.51567,29184000,0.19
1723332544.3135000,29388800,0.19
1723332603.58612,29696000,0.19
1723332623.295570,29798400,0.19
1723332633.759740,29849600,0.19
1723332653.041310,29952000,0.19
1723332675.007380,30054400,0.19
1723332685.210290,30105600,0.19
1723332738.999970,30361600,0.19
1723332749.686820,30412800,0.19
1723332828.951250,30873600,0.19
1723332853.7855800,31180800,0.19
1723332862.276460,31283200,0.19
1723332887.627190,31539200,0.19
1723332915.2362300,31795200,0.19
1723332926.5282400,31897600,0.19
1723333015.147920,32512000,0.19
1723333087.8771900,32870400,0.19
1723333099.77947,32921600,0.19
1723333125.875640,33024000,0.19
1723333139.408000,33075200,0.19
1723333153.561040,33126400,0.19
1723333167.664510,33177600,0.19
1723333197.820680,33280000,0.19
1723333248.432600,33433600,0.19
1723333323.536360,33638400,0.19
1723333429.708480,33894400,0.19
1723333502.075990,34048000,0.19
1723333610.444410,34252800,0.19
1723333697.820270,34406400,0.19
1723333793.724250,34560000,0.19
1723333935.5779600,34764800,0.19
1723333972.7134500,34816000,0.19
1723334138.713850,35020800,0.19
1723334367.313220,35276800,0.19
1723334417.161800,35328000,0.19
1723334794.780200,35686400,0.19
1723334977.562540,35840000,0.19
1723335011.859140,36044800,0.19
1723335041.703960,36198400,0.19
1723335126.047470,36608000,0.19
1723335166.173760,36812800,0.19
1723335196.0696300,36966400,0.19
1723335205.6687100,37017600,0.19
