Wall time,Step,Value
1722994274.108010,22067200,0.17
1722994370.01845,22528000,0.17
1722994381.207730,22579200,0.17
1722994391.101130,22630400,0.17
1722994401.728230,22681600,0.17
1722994433.21431,22835200,0.17
1722994489.666760,23142400,0.17
1722994519.289280,23500800,0.17
1722994523.786550,23552000,0.17
1722994529.225720,23603200,0.17
1722994534.302780,23654400,0.17
1722994544.032480,23756800,0.17
1722994549.256860,23808000,0.17
1722994566.970060,23961600,0.17
1722994572.229290,24012800,0.17
1722994602.6299300,24268800,0.17
1722994608.75122,24320000,0.17
1722994637.2084400,24524800,0.17
1722994697.036570,24883200,0.17
1722994727.187780,25036800,0.17
1722994738.2266900,25088000,0.17
1722994762.47441,25190400,0.17
1722994788.988490,25292800,0.17
1722994832.301760,25446400,0.17
1722995033.332610,26009600,0.17
1722995103.9287500,26163200,0.17
1722995127.819490,26214400,0.17
1722995152.647310,26265600,0.17
1722995205.282480,26368000,0.17
1722995262.527140,26470400,0.17
1722995292.4786900,26521600,0.17
1722995354.473980,26624000,0.17
1722995527.065860,26880000,0.17
1722995564.1138100,26931200,0.17
1722995811.8596000,27238400,0.17
1722995908.576550,27340800,0.17
1722995956.622610,27392000,0.17
1722996005.7200400,27443200,0.17
1722996055.081880,27494400,0.17
1722996107.243840,27545600,0.17
1722996159.2202500,27596800,0.17
1722996266.595990,27699200,0.17
1722996322.919500,27750400,0.17
1722996380.4235500,27801600,0.17
1722996685.9159600,28057600,0.17
1722996752.33889,28108800,0.17
1722996820.238250,28160000,0.17
1722996835.455450,28262400,0.17
1722996878.8000700,28467200,0.17
1722996898.846500,28569600,0.17
1722996919.237210,28672000,0.17
1722996959.815340,28876800,0.17
1722996970.910070,28928000,0.17
1722996980.860470,28979200,0.17
1722997021.333470,29184000,0.17
1722997062.866330,29388800,0.17
1722997073.074640,29440000,0.17
1722997103.7464600,29593600,0.17
1722997125.409330,29696000,0.17
1722997135.385530,29747200,0.17
1722997146.139220,29798400,0.17
1722997156.101580,29849600,0.17
1722997166.036610,29900800,0.17
1722997177.432300,29952000,0.17
1722997197.47947,30054400,0.17
1722997208.019010,30105600,0.17
1722997259.000940,30361600,0.17
1722997269.485660,30412800,0.17
1722997300.618850,30566400,0.17
1722997310.656,30617600,0.17
1722997341.905930,30771200,0.17
1722997349.404430,30873600,0.16
1722997367.3641900,31078400,0.16
1722997375.777810,31180800,0.16
1722997385.3365800,31283200,0.16
1722997395.3240900,31385600,0.16
1722997411.4572600,31539200,0.16
1722997434.480100,31744000,0.16
1722997439.971990,31795200,0.16
1722997453.180240,31897600,0.16
1722997472.043030,32051200,0.16
1722997501.399070,32256000,0.16
1722997544.820190,32512000,0.16
1722997617.7368600,32870400,0.16
1722997630.915230,32921600,0.16
1722997657.653770,33024000,0.16
1722997671.420230,33075200,0.16
1722997686.644560,33126400,0.16
1722997701.619620,33177600,0.16
1722997717.432270,33228800,0.16
1722997733.575900,33280000,0.16
1722997786.520290,33433600,0.16
1722997864.9967400,33638400,0.16
1722997886.721890,33689600,0.16
1722997979.866300,33894400,0.16
1722998058.477860,34048000,0.16
1722998115.491480,34150400,0.16
1722998144.839690,34201600,0.16
1722998175.479680,34252800,0.16
1722998270.764820,34406400,0.16
1722998303.763760,34457600,0.16
1722998338.826430,34508800,0.16
1722998376.4552400,34560000,0.16
1722998414.174270,34611200,0.16
1722998492.471170,34713600,0.16
1722998534.038970,34764800,0.16
1722998575.128930,34816000,0.16
1722998661.643920,34918400,0.16
1722998710.26,34969600,0.16
1722998756.483380,35020800,0.16
1722998804.861150,35072000,0.16
1722998854.083270,35123200,0.16
1722998904.43377,35174400,0.16
1722999009.017920,35276800,0.16
1722999062.6474000,35328000,0.16
1722999478.6618600,35686400,0.16
1722999677.180040,35840000,0.16
1722999682.583590,35891200,0.16
1722999692.9649200,35942400,0.16
1722999715.791480,36044800,0.16
1722999746.829280,36198400,0.16
1722999768.388510,36300800,0.16
1722999788.2944600,36403200,0.16
1722999829.9906800,36608000,0.16
1722999870.34161,36812800,0.16
1722999881.309930,36864000,0.16
1722999901.874680,36966400,0.16
1722999912.700060,37017600,0.16
1722999922.866510,37068800,0.16
1722999932.8144100,37120000,0.16
1722999944.316080,37171200,0.16
1722999995.57073,37427200,0.16
1723000057.9157200,37734400,0.16
1723000079.535540,37836800,0.16
1723000089.4417100,37888000,0.16
1723000099.9920000,37939200,0.16
1723000109.865450,37990400,0.16
1723000130.42691,38092800,0.16
1723000161.747310,38246400,0.16
1723000171.788850,38297600,0.16
1723000202.4794700,38451200,0.16
1723000206.1444900,38502400,0.16
1723000210.026620,38553600,0.16
1723000218.9309900,38656000,0.16
1723000227.01103,38758400,0.16
1723000255.609000,39065600,0.16
1723000271.5418000,39219200,0.16
1723000278.004310,39270400,0.16
1723000293.872800,39424000,0.16
1723000299.34372,39475200,0.16
1723000307.08052,39526400,0.16
1723000319.203190,39628800,0.16
1723000325.3181500,39680000,0.16
1723000332.17377,39731200,0.16
1723000370.177400,39987200,0.16
1723000404.377410,40192000,0.16
1723000413.2871200,40243200,0.16
